Epoch,Loss,X,Y,Z_pred,Z_true
40,2.16954,-1,-1,0.580405,1.49681
40,2.16954,-1,-0.9,0.556206,1.39681
40,2.16954,-1,-0.8,0.532006,1.29681
40,2.16954,-1,-0.7,0.493426,1.19681
40,2.16954,-1,-0.6,0.457097,1.09681
40,2.16954,-1,-0.5,0.445283,0.996815
40,2.16954,-1,-0.4,0.433468,0.896815
40,2.16954,-1,-0.3,0.421654,0.796815
40,2.16954,-1,-0.2,0.409839,0.696815
40,2.16954,-1,-0.1,0.398024,0.596815
40,2.16954,-1,-1.38778e-16,0.38621,0.496815
40,2.16954,-1,0.1,0.374395,0.396815
40,2.16954,-1,0.2,0.362581,0.296815
40,2.16954,-1,0.3,0.350766,0.196815
40,2.16954,-1,0.4,0.338951,0.0968147
40,2.16954,-1,0.5,0.327137,-0.00318531
40,2.16954,-1,0.6,0.315322,-0.103185
40,2.16954,-1,0.7,0.303508,-0.203185
40,2.16954,-1,0.8,0.291693,-0.303185
40,2.16954,-1,0.9,0.279879,-0.403185
40,2.16954,-1,1,0.26541,-0.503185
40,2.16954,-0.9,-1,0.588843,0.87924
40,2.16954,-0.9,-0.9,0.564643,0.77924
40,2.16954,-0.9,-0.8,0.540443,0.67924
40,2.16954,-0.9,-0.7,0.516243,0.57924
40,2.16954,-0.9,-0.6,0.492043,0.47924
40,2.16954,-0.9,-0.5,0.479858,0.37924
40,2.16954,-0.9,-0.4,0.468043,0.27924
40,2.16954,-0.9,-0.3,0.456229,0.17924
40,2.16954,-0.9,-0.2,0.444414,0.0792402
40,2.16954,-0.9,-0.1,0.4326,-0.0207598
40,2.16954,-0.9,-1.38778e-16,0.420785,-0.12076
40,2.16954,-0.9,0.1,0.40897,-0.22076
40,2.16954,-0.9,0.2,0.397156,-0.32076
40,2.16954,-0.9,0.3,0.385341,-0.42076
40,2.16954,-0.9,0.4,0.373527,-0.52076
40,2.16954,-0.9,0.5,0.361712,-0.62076
40,2.16954,-0.9,0.6,0.349898,-0.72076
40,2.16954,-0.9,0.7,0.338083,-0.82076
